#E_pot  E_kin  T  P
8.269548e+00 1.834441e+03 2.941767e+02 2.030774e+03
-4.124933e-01 1.889703e+03 3.030387e+02 2.091950e+03
-8.379651e-02 1.929141e+03 3.093632e+02 2.135610e+03
-2.898315e-02 1.927359e+03 3.090774e+02 2.133637e+03
-1.446665e-02 1.948366e+03 3.124462e+02 2.156892e+03
-9.067850e-03 1.862588e+03 2.986905e+02 2.061934e+03
-6.883171e-03 1.861372e+03 2.984955e+02 2.060588e+03
-5.952080e-03 1.876384e+03 3.009028e+02 2.077205e+03
-5.873581e-03 1.878811e+03 3.012920e+02 2.079893e+03
-6.155185e-03 1.871056e+03 3.000485e+02 2.071308e+03
-6.233461e-03 1.872127e+03 3.002202e+02 2.072493e+03
-6.214168e-03 1.824067e+03 2.925132e+02 2.019290e+03
-6.301812e-03 1.852455e+03 2.970656e+02 2.050716e+03
-6.310676e-03 1.808263e+03 2.899787e+02 2.001794e+03
-6.448937e-03 1.775372e+03 2.847043e+02 1.965383e+03
-6.592242e-03 1.854503e+03 2.973939e+02 2.052983e+03
-6.288622e-03 1.891714e+03 3.033612e+02 2.094176e+03
-5.764028e-03 1.835593e+03 2.943614e+02 2.032049e+03
-5.230101e-03 1.806222e+03 2.896515e+02 1.999535e+03
-5.116848e-03 1.825218e+03 2.926976e+02 2.020563e+03
-5.266423e-03 1.836571e+03 2.945183e+02 2.033132e+03
-5.413950e-03 1.808523e+03 2.900205e+02 2.002082e+03
-5.604440e-03 1.821596e+03 2.921169e+02 2.016554e+03
-5.859029e-03 1.833495e+03 2.940250e+02 2.029727e+03
-6.358429e-03 1.907576e+03 3.059048e+02 2.111736e+03
-7.135826e-03 1.936305e+03 3.105119e+02 2.143540e+03
-7.836184e-03 1.907161e+03 3.058383e+02 2.111276e+03
-8.476976e-03 1.831837e+03 2.937591e+02 2.027891e+03
-9.283718e-03 1.859044e+03 2.981221e+02 2.058010e+03
-9.834519e-03 1.847871e+03 2.963303e+02 2.045641e+03
-1.096510e-02 1.846290e+03 2.960769e+02 2.043892e+03
-1.235908e-02 1.856575e+03 2.977262e+02 2.055277e+03
-1.219676e-02 1.818038e+03 2.915462e+02 2.012615e+03
-1.097523e-02 1.757973e+03 2.819141e+02 1.946122e+03
-8.814806e-03 1.809971e+03 2.902527e+02 2.003685e+03
-6.188013e-03 1.786295e+03 2.864558e+02 1.977475e+03
-4.295402e-03 1.751538e+03 2.808821e+02 1.938998e+03
-3.387944e-03 1.780929e+03 2.855953e+02 1.971534e+03
-3.037541e-03 1.817254e+03 2.914206e+02 2.011748e+03
-2.711591e-03 1.776101e+03 2.848211e+02 1.966190e+03
-2.338158e-03 1.822351e+03 2.922379e+02 2.017390e+03
-2.105943e-03 1.864794e+03 2.990442e+02 2.064375e+03
-2.011769e-03 1.842274e+03 2.954328e+02 2.039445e+03
-1.955507e-03 1.821028e+03 2.920258e+02 2.015926e+03
-1.864249e-03 1.817146e+03 2.914032e+02 2.011627e+03
-1.697838e-03 1.770717e+03 2.839577e+02 1.960230e+03
-1.503275e-03 1.745464e+03 2.799082e+02 1.932275e+03
-1.359757e-03 1.768479e+03 2.835988e+02 1.957752e+03
-1.262663e-03 1.862749e+03 2.987162e+02 2.062111e+03
-1.182510e-03 1.839730e+03 2.950249e+02 2.036629e+03
-1.107201e-03 1.853708e+03 2.972664e+02 2.052103e+03
-1.039994e-03 1.912472e+03 3.066901e+02 2.117157e+03
-9.551851e-04 1.935971e+03 3.104584e+02 2.143170e+03
-8.532146e-04 1.966977e+03 3.154306e+02 2.177495e+03
-7.680494e-04 1.926344e+03 3.089145e+02 2.132513e+03
-7.151218e-04 1.952659e+03 3.131345e+02 2.161644e+03
-6.759169e-04 1.981719e+03 3.177948e+02 2.193815e+03
-6.412624e-04 1.929303e+03 3.093892e+02 2.135789e+03
-6.145692e-04 1.952187e+03 3.130588e+02 2.161121e+03
-5.812056e-04 1.916476e+03 3.073321e+02 2.121589e+03
-5.494539e-04 1.883227e+03 3.020003e+02 2.084782e+03
-5.288613e-04 1.806987e+03 2.897740e+02 2.000381e+03
-5.110561e-04 1.811477e+03 2.904941e+02 2.005352e+03
-5.019125e-04 1.801911e+03 2.889601e+02 1.994762e+03
-5.023711e-04 1.788932e+03 2.868788e+02 1.980395e+03
-5.106852e-04 1.829555e+03 2.933932e+02 2.025365e+03
-5.310427e-04 1.813762e+03 2.908606e+02 2.007882e+03
-5.635532e-04 1.814795e+03 2.910262e+02 2.009025e+03
-5.914809e-04 1.822781e+03 2.923068e+02 2.017866e+03
-6.012169e-04 1.793217e+03 2.875660e+02 1.985138e+03
-6.014005e-04 1.836554e+03 2.945156e+02 2.033113e+03
-5.972056e-04 1.880384e+03 3.015443e+02 2.081634e+03
-5.848770e-04 1.963980e+03 3.149501e+02 2.174178e+03
-5.716579e-04 1.996952e+03 3.202376e+02 2.210678e+03
-5.617538e-04 1.951972e+03 3.130243e+02 2.160883e+03
-5.455020e-04 1.921161e+03 3.080833e+02 2.126775e+03
-5.297772e-04 1.927040e+03 3.090262e+02 2.133283e+03
-5.161621e-04 1.886356e+03 3.025020e+02 2.088245e+03
-5.097543e-04 1.891353e+03 3.033034e+02 2.093777e+03
-5.124998e-04 1.910879e+03 3.064345e+02 2.115393e+03
-5.165562e-04 1.963900e+03 3.149371e+02 2.174088e+03
-5.199477e-04 2.016688e+03 3.234024e+02 2.232526e+03
-5.191374e-04 1.913086e+03 3.067885e+02 2.117836e+03
-5.164312e-04 1.977448e+03 3.171097e+02 2.189086e+03
-5.163185e-04 1.884393e+03 3.021872e+02 2.086072e+03
-5.072189e-04 1.867621e+03 2.994975e+02 2.067505e+03
-4.941283e-04 1.848429e+03 2.964200e+02 2.046260e+03
-4.802775e-04 1.831414e+03 2.936913e+02 2.027423e+03
-4.659651e-04 1.810738e+03 2.903756e+02 2.004534e+03
-4.524119e-04 1.844620e+03 2.958091e+02 2.042043e+03
-4.434204e-04 1.867699e+03 2.995101e+02 2.067592e+03
-4.387387e-04 1.922113e+03 3.082361e+02 2.127829e+03
-4.331603e-04 1.886667e+03 3.025518e+02 2.088589e+03
-4.331944e-04 1.923381e+03 3.084394e+02 2.129233e+03
-4.399616e-04 1.916587e+03 3.073500e+02 2.121712e+03
-4.558593e-04 1.880797e+03 3.016105e+02 2.082091e+03
-4.783489e-04 1.853239e+03 2.971912e+02 2.051584e+03
-4.906735e-04 1.887215e+03 3.026398e+02 2.089197e+03
-4.902742e-04 1.867854e+03 2.995350e+02 2.067763e+03
-4.872082e-04 1.895376e+03 3.039484e+02 2.098230e+03
-4.862988e-04 1.862653e+03 2.987009e+02 2.062006e+03
-4.865196e-04 1.794008e+03 2.876927e+02 1.986013e+03
-4.813897e-04 1.713390e+03 2.747646e+02 1.896767e+03
-4.766071e-04 1.771231e+03 2.840402e+02 1.960799e+03
-4.773057e-04 1.848557e+03 2.964404e+02 2.046401e+03
